Graph loaded
<torch.utils.data.dataloader.DataLoader object at 0x7f2a0cde4670>
Data Loaded
Starting training
Epoch 10: loss=4.5997
Epoch 10: loss=4.3534
Epoch 10: loss=4.6806
Epoch 10: loss=4.3723
Epoch 10: loss=4.9076
Epoch 10: loss=4.8587
Epoch 10: loss=5.3084
Epoch 10: loss=4.8727
Epoch 10: loss=4.4414
Epoch 10: loss=4.3692
Epoch 10: loss=4.3370
Epoch 10: loss=5.1137
Epoch 10: loss=4.8056
Epoch 10: loss=4.4190
Epoch 10: loss=4.3768
Epoch 10: loss=4.3409
Epoch 10: loss=5.3259
Epoch 10: loss=4.9096
Epoch 10: loss=4.4083
Epoch 10: loss=4.9611
Epoch 10: loss=4.3776
Epoch 10: loss=4.3394
Epoch 10: loss=4.3398
Epoch 10: loss=4.3582
Epoch 10: loss=4.3625
Epoch 10: loss=4.3487
Epoch 10: loss=6.3030
Epoch 10: loss=4.4407
Epoch 10: loss=4.5695
Epoch 10: loss=5.2514
Epoch 10: loss=5.6599
Epoch 10: loss=4.4230
Epoch 10: loss=5.9112
Epoch 10: loss=6.8993
Epoch 10: loss=4.9088
Epoch 10: loss=5.4811
Epoch 10: loss=5.1484
Epoch 10: loss=5.3160
Training Complete
